in data[1]
MusicalElement(element_type='Note', names=['C#5'], frequencies=[554.3652619537443], timestamp=0.0, duration=0.5, bar_number=1)
MusicalElement(element_type='Note', names=['C#5'], frequencies=[554.3652619537443], timestamp=0.5, duration=0.5, bar_number=1)
MusicalElement(element_type='Note', names=['D5'], frequencies=[587.3295358348153], timestamp=1.0, duration=0.5, bar_number=1)
MusicalElement(element_type='Note', names=['E5'], frequencies=[659.2551138257401], timestamp=1.5, duration=0.5, bar_number=1)
MusicalElement(element_type='Note', names=['E5'], frequencies=[659.2551138257401], timestamp=2.0, duration=0.5, bar_number=2)
MusicalElement(element_type='Note', names=['D5'], frequencies=[587.3295358348153], timestamp=2.5, duration=0.5, bar_number=2)
MusicalElement(element_type='Note', names=['C#5'], frequencies=[554.3652619537443], timestamp=3.0, duration=0.5, bar_number=2)
MusicalElement(element_type='Note', names=['B4'], frequencies=[493.8833012561241], timestamp=3.5, duration=0.5, bar_number=2)
MusicalElement(element_type='Note', names=['A4'], frequencies=[440.0], timestamp=4.0, duration=0.5, bar_number=3)
MusicalElement(element_type='Note', names=['A4'], frequencies=[440.0], timestamp=4.5, duration=0.5, bar_number=3)
MusicalElement(element_type='Note', names=['B4'], frequencies=[493.8833012561241], timestamp=5.0, duration=0.5, bar_number=3)
MusicalElement(element_type='Note', names=['C#5'], frequencies=[554.3652619537443], timestamp=5.5, duration=0.5, bar_number=3)
MusicalElement(element_type='Note', names=['C#5'], frequencies=[554.3652619537443], timestamp=6.0, duration=0.75, bar_number=4)
MusicalElement(element_type='Note', names=['B4'], frequencies=[493.8833012561241], timestamp=6.75, duration=0.25, bar_number=4)
MusicalElement(element_type='Note', names=['B4'], frequencies=[493.8833012561241], timestamp=7.0, duration=1.0, bar_number=4)
MusicalElement(element_type='Note', names=['C#5'], frequencies=[554.3652619537443], timestamp=8.0, duration=0.5, bar_number=5)
MusicalElement(element_type='Note', names=['C#5'], frequencies=[554.3652619537443], timestamp=8.5, duration=0.5, bar_number=5)
MusicalElement(element_type='Note', names=['D5'], frequencies=[587.3295358348153], timestamp=9.0, duration=0.5, bar_number=5)
MusicalElement(element_type='Note', names=['E5'], frequencies=[659.2551138257401], timestamp=9.5, duration=0.5, bar_number=5)
MusicalElement(element_type='Note', names=['E5'], frequencies=[659.2551138257401], timestamp=10.0, duration=0.5, bar_number=6)
MusicalElement(element_type='Note', names=['D5'], frequencies=[587.3295358348153], timestamp=10.5, duration=0.5, bar_number=6)
MusicalElement(element_type='Note', names=['C#5'], frequencies=[554.3652619537443], timestamp=11.0, duration=0.5, bar_number=6)
MusicalElement(element_type='Note', names=['B4'], frequencies=[493.8833012561241], timestamp=11.5, duration=0.5, bar_number=6)
MusicalElement(element_type='Note', names=['A4'], frequencies=[440.0], timestamp=12.0, duration=0.5, bar_number=7)
MusicalElement(element_type='Note', names=['A4'], frequencies=[440.0], timestamp=12.5, duration=0.5, bar_number=7)
MusicalElement(element_type='Note', names=['B4'], frequencies=[493.8833012561241], timestamp=13.0, duration=0.5, bar_number=7)
MusicalElement(element_type='Note', names=['C#5'], frequencies=[554.3652619537443], timestamp=13.5, duration=0.5, bar_number=7)
